"publisher","name","created.date-parts1","count"
"ENCODE Data Coordination Center","University of Michigan","2022",138485
"Faculty Opinions Ltd","University of Michigan","2012",1404
"Faculty Opinions Ltd","Duke University","2012",1356
"ENCODE Data Coordination Center","Duke University","2021",978
"Faculty Opinions Ltd","University of Minnesota","2012",681
"Faculty Opinions Ltd","Cornell University","2012",411
"Faculty Opinions Ltd","University of Minnesota","2020",264
"Faculty Opinions Ltd","University of Michigan","2020",254
"Faculty Opinions Ltd","Duke University","2020",196
"Faculty Opinions Ltd","Washington University in St Louis","2012",196
"Faculty Opinions Ltd","Duke University","2013",174
"Faculty Opinions Ltd","Duke University","2015",161
"Faculty Opinions Ltd","University of Michigan","2017",156
"Faculty Opinions Ltd","Duke University","2019",154
"Faculty Opinions Ltd","University of Michigan","2013",147
"Faculty Opinions Ltd","Duke University","2016",136
"Faculty Opinions Ltd","University of Michigan","2018",136
"Faculty Opinions Ltd","Duke University","2017",125
"Faculty Opinions Ltd","University of Minnesota","2019",122
"Faculty Opinions Ltd","Washington University in St Louis","2017",121
"Faculty Opinions Ltd","University of Minnesota","2016",120
"Faculty Opinions Ltd","Duke University","2018",114
"Faculty Opinions Ltd","University of Michigan","2016",114
"Faculty Opinions Ltd","University of Minnesota","2017",111
"Faculty Opinions Ltd","University of Michigan","2014",103
"Faculty Opinions Ltd","University of Minnesota","2013",98
"Faculty Opinions Ltd","Duke University","2014",94
"Faculty Opinions Ltd","University of Minnesota","2014",93
"ENCODE Data Coordination Center","University of Michigan","2021",81
"Faculty Opinions Ltd","University of Michigan","2019",81
"Faculty Opinions Ltd","University of Minnesota","2021",69
"Faculty Opinions Ltd","University of Minnesota","2018",63
"Faculty Opinions Ltd","Virginia Polytechnic Institute and State University","2012",61
"Faculty Opinions Ltd","Cornell University","2020",54
"Faculty Opinions Ltd","Duke University","2021",53
"Faculty Opinions Ltd","University of Michigan","2021",52
"Faculty Opinions Ltd","Washington University in St Louis","2019",52
"Faculty Opinions Ltd","University of Michigan","2015",50
"Faculty Opinions Ltd","University of Minnesota","2015",46
"Faculty Opinions Ltd","Cornell University","2013",40
"Faculty Opinions Ltd","Cornell University","2019",38
"Faculty Opinions Ltd","Cornell University","2014",32
"Faculty Opinions Ltd","Washington University in St Louis","2021",32
"Faculty Opinions Ltd","Washington University in St Louis","2016",29
"ENCODE Data Coordination Center","Duke University","2022",28
"Faculty Opinions Ltd","Cornell University","2018",28
"Faculty Opinions Ltd","Washington University in St Louis","2020",24
"Faculty Opinions Ltd","Cornell University","2021",23
"Faculty Opinions Ltd","Cornell University","2017",20
"Faculty Opinions Ltd","University of Michigan","2022",19
"Faculty Opinions Ltd","University of Minnesota","2022",15
"Faculty Opinions Ltd","Cornell University","2016",14
"Biological and Chemical Oceanography Data Management Office","Duke University","2019",13
"Authorea, Inc.","Cornell University","2020",12
"Authorea, Inc.","University of Michigan","2020",12
"ENCODE Data Coordination Center","Cornell University","2021",12
"Faculty Opinions Ltd","Duke University","2022",11
"Faculty Opinions Ltd","Washington University in St Louis","2018",11
"Authorea, Inc.","Duke University","2020",10
"Authorea, Inc.","University of Minnesota","2020",10
"Faculty Opinions Ltd","Washington University in St Louis","2013",10
"Authorea, Inc.","Washington University in St Louis","2017",9
"Faculty Opinions Ltd","Cornell University","2022",9
"Faculty Opinions Ltd","Washington University in St Louis","2014",9
"Faculty Opinions Ltd","Washington University in St Louis","2015",9
"Faculty Opinions Ltd","Washington University in St Louis","2022",9
"Biological and Chemical Oceanography Data Management Office","University of Michigan","2020",8
"Biological and Chemical Oceanography Data Management Office","Cornell University","2019",6
"Faculty Opinions Ltd","Cornell University","2015",5
"Authorea, Inc.","University of Michigan","2019",4
"Authorea, Inc.","Washington University in St Louis","2020",4
"Authorea, Inc.","University of Minnesota","2019",3
"Faculty Opinions Ltd","Virginia Polytechnic Institute and State University","2013",3
"American College of Radiology","Washington University in St Louis","2022",2
"Biological and Chemical Oceanography Data Management Office","University of Michigan","2019",2
"USDA Forest Service","Cornell University","2021",2
"USDA Forest Service","University of Michigan","2021",2
"USDA Forest Service","University of Minnesota","2021",2
"USDA Forest Service","University of Minnesota","2022",2
"Authorea, Inc.","Washington University in St Louis","2019",1
"EarthSpace","University of Michigan","2014",1
"Forest Service Research Data Archive","University of Minnesota","2019",1
