"publisher","Cornell","Duke","Michigan","Minnesota","Virginia Tech","Washington U","Total"
"Zenodo",1104,743,1195,616,603,614,4875
"Institutional Repository",51,0,0,2,20,0,73
"Code Ocean",11,17,20,16,0,0,64
"Optica Publishing Group",0,2,4,0,0,8,14
"figshare",0,0,0,0,2,2,4
"CoMSES Net",0,0,1,1,0,0,2
"UCAR/NCAR - EarthCube",0,0,1,0,1,0,2
"University of Minnesota",0,0,0,2,0,0,2
"SimTK",0,1,0,0,0,0,1
"Los Alamos National Laboratory (LANL), Los Alamos, NM (United States)",0,0,1,0,0,0,1
"Sandia National Laboratories (SNL-NM), Albuquerque, NM (United States)",0,0,1,0,0,0,1
"University of Utah",0,0,0,1,0,0,1
